area_code,area_name,gender,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
S92000003,Scotland,All,"5,180,200","5,164,540","5,148,120","5,138,880","5,127,890","5,111,760","5,099,020","5,077,440","5,078,190","5,081,270","5,083,330","5,085,620","5,092,460","5,102,210","5,103,690","5,092,190","5,083,340","5,077,070","5,071,950","5,062,940","5,064,200","5,066,000","5,068,500","5,084,300","5,110,200","5,133,000","5,170,000","5,202,900","5,231,900","5,262,200","5,299,900","5,313,600","5,327,700","5,347,600","5,373,000","5,404,700","5,424,800","5,438,100","5,463,300"
S08000015,Ayrshire and Arran,All,"377,854","376,850","376,300","376,250","375,590","375,420","375,470","374,900","375,120","375,220","375,200","374,610","374,480","374,350","374,210","373,150","372,750","371,790","370,560","368,770","368,290","367,500","367,710","368,550","369,000","369,330","370,750","372,120","372,430","372,810","373,760","373,220","372,240","371,140","370,590","370,560","370,410","369,670","369,360"
S08000016,Borders,All,"101,256","101,080","101,050","101,230","101,610","101,580","101,860","102,130","102,600","103,370","103,830","104,540","105,040","105,450","105,940","105,860","105,960","106,040","105,810","106,250","106,950","107,530","108,390","109,450","110,250","110,860","112,200","113,360","113,590","113,700","113,880","113,720","113,880","114,040","114,030","114,530","115,020","115,270","115,510"
S08000017,Dumfries and Galloway,All,"145,502","145,350","145,310","145,360","145,420","145,170","145,220","145,360","146,710","147,150","147,170","147,650","147,940","148,130","148,520","148,520","148,520","148,740","148,230","147,540","147,780","147,670","147,860","148,700","149,620","149,770","150,370","151,010","151,160","151,100","151,410","150,840","150,280","149,960","149,670","149,520","149,200","148,790","148,860"
S08000029,Fife,All,"341,589","342,300","343,800","345,300","345,400","345,490","345,480","345,170","345,970","346,970","347,360","347,910","349,260","350,190","349,720","347,430","346,540","346,540","347,030","348,340","349,770","350,740","351,360","353,050","355,460","357,260","358,740","360,040","361,420","362,610","365,300","366,210","366,900","367,250","368,080","370,330","371,410","371,910","373,550"
S08000019,Forth Valley,All,"273,625","273,270","272,950","272,890","272,450","271,930","272,090","271,340","271,070","271,810","271,530","271,620","272,060","272,850","273,670","274,660","275,950","276,970","278,260","278,980","279,540","280,690","282,030","283,900","286,800","288,720","291,350","293,020","294,190","296,010","298,080","299,090","299,670","300,400","302,650","304,480","305,580","306,070","306,640"
S08000020,Grampian,All,"484,899","490,230","494,180","497,530","500,960","503,700","503,630","502,370","506,300","508,750","513,980","521,490","527,870","532,910","533,820","532,770","530,480","528,670","528,670","527,080","525,850","527,200","529,360","531,890","536,360","541,590","548,300","553,690","559,200","564,850","569,580","573,400","579,200","584,220","587,820","588,100","586,380","584,550","585,700"
S08000031,Greater Glasgow and Clyde,All,"1,294,362","1,281,920","1,268,700","1,257,400","1,246,970","1,237,430","1,225,800","1,212,240","1,202,410","1,193,880","1,189,490","1,180,990","1,174,650","1,170,020","1,162,400","1,154,320","1,145,290","1,140,490","1,134,250","1,126,950","1,126,690","1,122,800","1,116,470","1,112,010","1,110,810","1,108,800","1,112,000","1,116,840","1,122,330","1,127,840","1,135,400","1,137,320","1,137,920","1,142,590","1,149,890","1,161,370","1,169,110","1,174,980","1,183,120"
S08000022,Highland,All,"285,851","285,920","287,460","288,980","290,610","291,620","291,670","292,940","294,340","295,780","297,310","297,350","297,910","299,290","300,170","300,390","300,280","300,520","300,840","300,180","300,220","300,780","302,570","305,140","308,400","311,640","314,790","316,880","318,200","319,350","321,660","319,800","320,980","320,730","321,000","321,900","321,990","321,800","321,700"
S08000032,Lanarkshire,All,"651,649","648,790","646,900","644,620","641,030","636,700","635,060","631,730","631,610","631,520","629,430","629,060","628,150","629,050","628,380","627,060","626,950","625,510","624,740","623,660","623,520","625,290","627,180","631,060","633,990","637,190","641,530","644,590","647,340","649,460","651,620","652,220","652,590","653,300","654,490","656,490","658,130","659,200","661,900"
S08000024,Lothian,All,"749,481","748,460","744,730","744,690","743,660","740,350","741,310","739,040","742,670","745,280","745,330","744,730","747,890","752,330","758,030","760,940","764,780","767,920","771,690","776,500","779,180","779,810","778,910","781,810","787,260","792,990","801,450","808,940","816,510","825,520","836,610","843,740","849,720","858,120","867,800","880,000","889,450","897,770","907,580"
S08000025,Orkney,All,"19,182","19,100","19,190","19,190","19,180","19,080","19,070","19,170","19,270","19,360","19,520","19,670","19,710","19,750","19,810","19,730","19,770","19,590","19,420","19,290","19,220","19,330","19,540","19,830","20,070","20,340","20,580","20,740","20,940","21,220","21,420","21,530","21,560","21,580","21,670","21,850","22,000","22,190","22,270"
S08000026,Shetland,All,"26,347","24,100","22,300","22,200","22,300","22,400","22,400","22,300","22,200","22,390","22,530","22,600","22,760","22,790","22,970","22,860","22,830","22,700","22,510","22,180","21,960","22,000","21,950","22,090","22,250","22,210","22,350","22,480","22,800","23,060","23,240","23,210","23,200","23,220","23,200","23,200","23,080","22,990","22,920"
S08000030,Tayside,All,"397,055","395,680","393,870","392,060","391,640","389,920","389,500","388,490","387,970","390,050","391,320","394,160","395,480","395,980","397,240","395,900","395,330","394,050","392,730","390,430","388,780","388,310","388,740","390,170","393,000","395,240","398,380","401,910","404,370","407,070","410,250","411,740","412,160","413,800","415,040","415,470","416,090","416,080","417,470"
S08000028,Western Isles,All,"31,548","31,490","31,380","31,180","31,070","30,970","30,460","30,260","29,950","29,740","29,330","29,240","29,260","29,120","28,810","28,600","27,910","27,540","27,210","26,790","26,450","26,350","26,430","26,650","26,930","27,060","27,210","27,280","27,420","27,600","27,690","27,560","27,400","27,250","27,070","26,900","26,950","26,830","26,720"
S92000003,Scotland,Male,"2,494,860","2,487,335","2,479,075","2,474,623","2,469,514","2,462,311","2,455,403","2,444,319","2,443,165","2,443,865","2,444,515","2,445,272","2,448,419","2,453,342","2,453,353","2,447,020","2,442,322","2,438,991","2,436,535","2,431,926","2,433,733","2,435,635","2,438,088","2,446,603","2,461,274","2,475,064","2,496,559","2,515,298","2,531,969","2,548,218","2,570,300","2,577,290","2,586,680","2,596,530","2,610,469","2,627,503","2,640,300","2,648,751","2,663,003"
S08000015,Ayrshire and Arran,Male,"181,080","180,703","180,362","180,168","179,684","179,713","179,519","179,010","178,993","179,072","178,960","178,759","178,666","178,505","178,441","178,031","177,756","177,114","176,589","175,833","175,547","175,000","175,184","175,727","175,997","176,243","177,026","177,874","178,142","178,299","178,895","178,674","178,241","177,737","177,579","177,602","177,610","177,216","177,049"
S08000016,Borders,Male,"48,211","48,180","48,230","48,314","48,528","48,560","48,769","48,869","49,099","49,482","49,783","50,012","50,267","50,511","50,810","50,810","50,886","50,944","50,926","51,104","51,467","51,873","52,294","52,879","53,306","53,675","54,355","54,852","54,911","54,941","55,195","55,183","55,311","55,319","55,273","55,516","55,789","55,989","56,123"
S08000017,Dumfries and Galloway,Male,"70,374","70,347","70,376","70,395","70,415","70,247","70,262","70,255","70,844","71,018","71,017","71,266","71,442","71,582","71,755","71,768","71,798","71,909","71,611","71,210","71,309","71,324","71,462","71,881","72,382","72,469","72,868","73,167","73,179","73,181","73,379","73,212","72,980","72,825","72,691","72,533","72,424","72,321","72,435"
S08000029,Fife,Male,"165,431","166,029","167,005","167,734","167,772","168,065","167,990","167,611","167,819","168,079","167,994","168,229","169,034","169,182","168,551","166,809","166,354","166,293","166,573","167,105","167,765","168,091","168,727","169,701","171,104","172,259","173,185","173,864","174,614","175,198","176,975","177,448","177,971","177,912","178,047","179,552","180,312","180,620","181,414"
S08000019,Forth Valley,Male,"132,735","132,652","132,572","132,467","132,122","131,839","131,686","131,171","130,821","130,969","130,770","130,760","130,844","131,287","131,657","132,199","132,778","133,257","133,866","134,176","134,465","134,974","135,790","136,805","138,342","139,349","140,931","141,899","142,570","143,590","144,740","145,360","145,791","146,125","147,313","148,274","148,836","149,167","149,627"
S08000020,Grampian,Male,"236,527","239,155","241,441","243,038","245,141","246,796","246,772","246,274","248,014","249,341","252,329","256,223","259,483","262,124","262,571","261,806","260,885","260,417","260,645","260,262","259,672","260,462","261,615","262,569","264,590","267,507","270,977","274,148","276,801","279,509","281,772","283,628","287,185","289,615","291,775","292,145","291,657","290,728","291,283"
S08000031,Greater Glasgow and Clyde,Male,"618,095","612,416","605,882","600,075","594,907","590,136","584,317","577,798","572,312","567,812","565,559","561,258","557,779","555,496","551,506","547,386","542,654","540,003","536,704","532,951","534,390","532,890","529,844","528,384","528,794","528,196","530,591","533,891","537,716","541,152","545,664","546,994","547,844","550,378","554,844","560,944","566,027","569,757","574,694"
S08000022,Highland,Male,"139,898","140,125","140,896","141,636","142,498","143,029","143,016","143,897","144,693","145,371","145,923","145,565","145,541","146,282","146,851","146,901","146,972","147,089","147,406","147,196","147,159","147,730","148,458","149,094","150,611","152,656","154,254","155,385","155,984","156,166","157,608","156,216","157,483","157,465","157,652","158,165","158,306","158,307","158,311"
S08000032,Lanarkshire,Male,"315,654","314,202","313,294","311,958","310,125","307,912","306,720","304,892","304,405","304,116","302,795","302,369","301,809","302,131","301,599","300,894","300,721","299,845","299,311","298,580","298,252","299,211","300,242","302,384","303,956","305,850","308,348","309,954","311,613","312,771","314,191","314,559","314,915","315,228","316,003","317,237","318,274","319,022","320,396"
S08000024,Lothian,Male,"358,240","357,373","355,244","355,756","355,140","353,461","354,119","352,945","355,048","356,376","356,436","356,351","358,235","360,405","363,328","365,078","366,873","368,403","370,108","372,272","373,481","374,149","374,282","376,012","379,205","382,529","387,690","391,745","396,163","401,095","407,188","410,349","412,948","417,087","421,564","427,440","432,512","436,939","442,123"
S08000025,Orkney,Male,"9,481","9,395","9,442","9,432","9,439","9,357","9,364","9,418","9,440","9,470","9,566","9,665","9,712","9,726","9,770","9,740","9,762","9,673","9,619","9,508","9,487","9,544","9,655","9,786","9,886","10,013","10,154","10,228","10,331","10,471","10,610","10,693","10,723","10,729","10,785","10,880","10,945","11,039","11,086"
S08000026,Shetland,Male,"14,465","12,414","10,748","10,768","10,931","11,053","11,113","11,143","11,150","11,290","11,421","11,453","11,529","11,557","11,629","11,587","11,533","11,441","11,342","11,173","11,055","11,065","11,065","11,114","11,175","11,145","11,242","11,351","11,512","11,679","11,788","11,770","11,771","11,793","11,783","11,783","11,731","11,713","11,685"
S08000030,Tayside,Male,"188,925","188,639","187,919","187,309","187,326","186,680","186,533","185,917","185,595","186,647","187,379","188,815","189,543","190,067","190,600","189,877","189,537","188,997","188,403","187,332","186,628","186,361","186,479","187,201","188,666","189,829","191,537","193,497","194,933","196,560","198,643","199,598","199,998","200,873","201,786","202,163","202,567","202,686","203,581"
S08000028,Western Isles,Male,"15,744","15,705","15,664","15,573","15,486","15,463","15,223","15,119","14,932","14,822","14,583","14,547","14,535","14,487","14,285","14,134","13,813","13,606","13,432","13,224","13,056","12,961","12,991","13,066","13,260","13,344","13,401","13,443","13,500","13,606","13,652","13,606","13,519","13,444","13,374","13,269","13,310","13,247","13,196"
S92000003,Scotland,Female,"2,685,340","2,677,205","2,669,045","2,664,257","2,658,376","2,649,449","2,643,617","2,633,121","2,635,025","2,637,405","2,638,815","2,640,348","2,644,041","2,648,868","2,650,337","2,645,170","2,641,018","2,638,079","2,635,415","2,631,014","2,630,467","2,630,365","2,630,412","2,637,697","2,648,926","2,657,936","2,673,441","2,687,602","2,699,931","2,713,982","2,729,600","2,736,310","2,741,020","2,751,070","2,762,531","2,777,197","2,784,500","2,789,349","2,800,297"
S08000015,Ayrshire and Arran,Female,"196,774","196,147","195,938","196,082","195,906","195,707","195,951","195,890","196,127","196,148","196,240","195,851","195,814","195,845","195,769","195,119","194,994","194,676","193,971","192,937","192,743","192,500","192,526","192,823","193,003","193,087","193,724","194,246","194,288","194,511","194,865","194,546","193,999","193,403","193,011","192,958","192,800","192,454","192,311"
S08000016,Borders,Female,"53,045","52,900","52,820","52,916","53,082","53,020","53,091","53,261","53,501","53,888","54,047","54,528","54,773","54,939","55,130","55,050","55,074","55,096","54,884","55,146","55,483","55,657","56,096","56,571","56,944","57,185","57,845","58,508","58,679","58,759","58,685","58,537","58,569","58,721","58,757","59,014","59,231","59,281","59,387"
S08000017,Dumfries and Galloway,Female,"75,128","75,003","74,934","74,965","75,005","74,923","74,958","75,105","75,866","76,132","76,153","76,384","76,498","76,548","76,765","76,752","76,722","76,831","76,619","76,330","76,471","76,346","76,398","76,819","77,238","77,301","77,502","77,843","77,981","77,919","78,031","77,628","77,300","77,135","76,979","76,987","76,776","76,469","76,425"
S08000029,Fife,Female,"176,158","176,271","176,795","177,566","177,628","177,425","177,490","177,559","178,151","178,891","179,366","179,681","180,226","181,008","181,169","180,621","180,186","180,247","180,457","181,235","182,005","182,649","182,633","183,349","184,356","185,001","185,555","186,176","186,806","187,412","188,325","188,762","188,929","189,338","190,033","190,778","191,098","191,290","192,136"
S08000019,Forth Valley,Female,"140,890","140,618","140,378","140,423","140,328","140,091","140,404","140,169","140,249","140,841","140,760","140,860","141,216","141,563","142,013","142,461","143,172","143,713","144,394","144,804","145,075","145,716","146,240","147,095","148,458","149,371","150,419","151,121","151,620","152,420","153,340","153,730","153,879","154,275","155,337","156,206","156,744","156,903","157,013"
S08000020,Grampian,Female,"248,372","251,075","252,739","254,492","255,819","256,904","256,858","256,096","258,286","259,409","261,651","265,267","268,387","270,786","271,249","270,964","269,595","268,253","268,025","266,818","266,178","266,738","267,745","269,321","271,770","274,083","277,323","279,542","282,399","285,341","287,808","289,772","292,015","294,605","296,045","295,955","294,723","293,822","294,417"
S08000031,Greater Glasgow and Clyde,Female,"676,267","669,504","662,818","657,325","652,063","647,294","641,483","634,442","630,098","626,068","623,931","619,732","616,871","614,524","610,894","606,934","602,636","600,487","597,546","593,999","592,300","589,910","586,626","583,626","582,016","580,604","581,409","582,949","584,614","586,688","589,736","590,326","590,076","592,212","595,046","600,426","603,083","605,223","608,426"
S08000022,Highland,Female,"145,953","145,795","146,564","147,344","148,112","148,591","148,654","149,043","149,647","150,409","151,387","151,785","152,369","153,008","153,319","153,489","153,308","153,431","153,434","152,984","153,061","153,050","154,112","156,046","157,789","158,984","160,536","161,495","162,216","163,184","164,052","163,584","163,497","163,265","163,348","163,735","163,684","163,493","163,389"
S08000032,Lanarkshire,Female,"335,995","334,588","333,606","332,662","330,905","328,788","328,340","326,838","327,205","327,404","326,635","326,691","326,341","326,919","326,781","326,166","326,229","325,665","325,429","325,080","325,268","326,079","326,938","328,676","330,034","331,340","333,182","334,636","335,727","336,689","337,429","337,661","337,675","338,072","338,487","339,253","339,856","340,178","341,504"
S08000024,Lothian,Female,"391,241","391,087","389,486","388,934","388,520","386,889","387,191","386,095","387,622","388,904","388,894","388,379","389,655","391,925","394,702","395,862","397,907","399,517","401,582","404,228","405,699","405,661","404,628","405,798","408,055","410,461","413,760","417,195","420,347","424,425","429,422","433,391","436,772","441,033","446,236","452,560","456,938","460,831","465,457"
S08000025,Orkney,Female,"9,701","9,705","9,748","9,758","9,741","9,723","9,706","9,752","9,830","9,890","9,954","10,005","9,998","10,024","10,040","9,990","10,008","9,917","9,801","9,782","9,733","9,786","9,885","10,044","10,184","10,327","10,426","10,512","10,609","10,749","10,810","10,837","10,837","10,851","10,885","10,970","11,055","11,151","11,184"
S08000026,Shetland,Female,"11,882","11,686","11,552","11,432","11,369","11,347","11,287","11,157","11,050","11,100","11,109","11,147","11,231","11,233","11,341","11,273","11,297","11,259","11,168","11,007","10,905","10,935","10,885","10,976","11,075","11,065","11,108","11,129","11,288","11,381","11,452","11,440","11,429","11,427","11,417","11,417","11,349","11,277","11,235"
S08000030,Tayside,Female,"208,130","207,041","205,951","204,751","204,314","203,240","202,967","202,573","202,375","203,403","203,941","205,345","205,937","205,913","206,640","206,023","205,793","205,053","204,327","203,098","202,152","201,949","202,261","202,969","204,334","205,411","206,843","208,413","209,437","210,510","211,607","212,142","212,162","212,927","213,254","213,307","213,523","213,394","213,889"
S08000028,Western Isles,Female,"15,804","15,785","15,716","15,607","15,584","15,507","15,237","15,141","15,018","14,918","14,747","14,693","14,725","14,633","14,525","14,466","14,097","13,934","13,778","13,566","13,394","13,389","13,439","13,584","13,670","13,716","13,809","13,837","13,920","13,994","14,038","13,954","13,881","13,806","13,696","13,631","13,640","13,583","13,524"